seed_num	seed	best_epoch	train_loss	train_perplexity	train_coherence	train_diversity
ALL	AVERAGE	7.9	272.4584594726563	1729.8993408203125	0.03414442121204253	0.9883333333333333
0	2333715079	9.0	261.23736572265625	1250.8898315429688	0.035562572115129365	1.0
1	1717068795	9.0	272.6880187988281	1710.564453125	0.029466737180913378	1.0
2	1095595245	6.0	274.2462158203125	1790.6603393554688	0.03582794521068216	1.0
3	94206804	9.0	272.8052673339844	1726.5465698242188	0.02862129046579512	0.9833333333333333
4	4185801722	9.0	272.51593017578125	1716.464599609375	0.029500893688289506	0.9833333333333333
5	1931149715	3.0	286.347900390625	2509.5184326171875	0.04203925399567465	0.9666666666666667
6	590459551	8.0	276.32025146484375	1884.1483154296875	0.03402963379670088	1.0
7	1217014214	9.0	266.71502685546875	1458.796142578125	0.030997666769960148	0.95
8	3461397692	8.0	270.70672607421875	1626.8204345703125	0.03461876167072549	1.0
9	3705822378	9.0	271.00189208984375	1624.5842895507812	0.04077945722655458	1.0
